,tweet_ids,tweets text,created_at,like_count,retweet_count,userid,user_mentions,toenglish,sentiment
0,1785039204625391791,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 20:11:25+00:00,0,7,3317997235,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
1,1785021235987992825,"Take a quick look at the day that was for Kolkata featuring a special tram for Lok Sabha elections 2024, a hot summer day for the city, and more.

See more: https://t.co/lGLwEceKuj

#PicksOfTheDay #PhotoOfTheDay #Elections #LokSabha #KolkataTrams #Heatwave #Kolkata #MyKolkata https://t.co/sgdkUCwkvE",2024-04-29 19:00:01+00:00,2,0,1425799761458728962,,"Take a quick look at the day that was for Kolkata featuring a special tram for Lok Sabha elections 2024, a hot summer day for the city, and more.

See more: https://t.co/lGLwEceKuj

#PicksOfTheDay #PhotoOfTheDay #Elections #LokSabha #KolkataTrams #Heatwave #Kolkata #MyKolkata https://t.co/sgdkUCwkvE",Positive
2,1784925601117155614,"Only 9% of 1,352 candidates contesting in third phase of #LokSabha elections are women.

https://t.co/bPeY41h4NP",2024-04-29 12:40:00+00:00,2,0,714731566828793857,,"Only 9% of 1,352 candidates contesting in third phase of #LokSabha elections are women.

https://t.co/bPeY41h4NP",Neutral
3,1784919071055810975,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 12:14:03+00:00,0,6,829463784519528448,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
4,1784907612640977184,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",2024-04-29 11:28:31+00:00,0,2,2789578117,Outlookindia,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",Negative
5,1784905075887939714,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 11:18:26+00:00,0,7,1677368584392282115,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
6,1784904896577454152,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",2024-04-29 11:17:43+00:00,0,2,54516759,Outlookindia,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",Negative
7,1784903850958475463,"In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his candidature and was ""welcomed"" by the #BJP to its fold on Monday.

Nayanika Sengupta writes

https://t.co/EJXKfDVumv",2024-04-29 11:13:34+00:00,2,2,22763833,,"In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his candidature and was ""welcomed"" by the #BJP to its fold on Monday.

Nayanika Sengupta writes

https://t.co/EJXKfDVumv",Positive
8,1784903366847717678,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:11:39+00:00,0,6,916210505282314240,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
9,1784903073682317683,"RT @aajtak: Lok Sabha Election Phase 2 Voting: रविंद्र भाटी, शशि थरूर, नवनीत राणा, अरुण गोविल और पप्पू यादव की सीटों पर वोटिंग जारी, देखिए…",2024-04-29 11:10:29+00:00,0,6,829085554276851712,aajtak,"RT @aajtak: Lok Sabha Election Phase 2 Voting: Voting continues on the seats of Ravindra Bhati, Shashi Tharoor, Navneet Rana, Arun Govil and Pappu Yadav, see…",Neutral
